district_id,district_name,literacy_rate,population,coverage_percentage,fund_utilization,month,monthly_variance
H001,Urban Health Zone,82.3,95000,88.5,82.1,2024-01,5.2
H001,Urban Health Zone,82.3,95000,90.2,84.7,2024-02,4.1
H001,Urban Health Zone,82.3,95000,87.8,80.3,2024-03,5.8
H002,Rural Medical District,54.2,72000,62.3,48.5,2024-01,28.4
H002,Rural Medical District,54.2,72000,65.8,52.1,2024-02,24.7
H002,Rural Medical District,54.2,72000,59.1,45.2,2024-03,32.6
H003,Remote Care Area,47.8,38000,54.7,39.8,2024-01,41.2
H003,Remote Care Area,47.8,38000,57.3,42.6,2024-02,37.8
H003,Remote Care Area,47.8,38000,51.9,36.5,2024-03,44.5
H004,Coastal Health Region,75.9,68000,81.2,71.3,2024-01,9.8
H004,Coastal Health Region,75.9,68000,83.6,74.2,2024-02,8.2
H004,Coastal Health Region,75.9,68000,79.5,68.9,2024-03,11.4
H005,Hill Station Health,73.4,42000,78.9,66.7,2024-01,12.5
H005,Hill Station Health,73.4,42000,81.2,69.8,2024-02,10.3
H005,Hill Station Health,73.4,42000,76.3,63.4,2024-03,14.8
H006,Tribal Health District,46.5,54000,52.1,37.2,2024-01,46.8
H006,Tribal Health District,46.5,54000,55.4,40.8,2024-02,42.3
H006,Tribal Health District,46.5,54000,48.7,33.9,2024-03,49.5
H007,Industrial Health Zone,79.6,115000,85.3,77.5,2024-01,7.4
H007,Industrial Health Zone,79.6,115000,87.1,79.8,2024-02,6.2
H007,Industrial Health Zone,79.6,115000,83.9,75.1,2024-03,8.9
H008,Slum Health Area,52.8,88000,58.4,42.6,2024-01,35.2
H008,Slum Health Area,52.8,88000,61.7,46.1,2024-02,31.8
H008,Slum Health Area,52.8,88000,55.2,39.4,2024-03,38.7
H009,Border Health Region,50.3,61000,56.2,40.1,2024-01,39.6
H009,Border Health Region,50.3,61000,59.1,43.8,2024-02,36.2
H009,Border Health Region,50.3,61000,53.4,37.2,2024-03,42.8
H010,Metro Health Hub,86.7,142000,91.8,86.2,2024-01,3.9
H010,Metro Health Hub,86.7,142000,93.2,88.5,2024-02,3.2
H010,Metro Health Hub,86.7,142000,90.5,84.1,2024-03,4.5
