district_id,district_name,literacy_rate,population,coverage_percentage,fund_utilization,month,monthly_variance
D001,North Valley,58.5,75000,68.2,52.3,2024-01,12.5
D001,North Valley,58.5,75000,71.5,58.1,2024-02,8.3
D001,North Valley,58.5,75000,65.8,48.9,2024-03,22.7
D002,South Hills,72.3,45000,82.1,65.4,2024-01,9.2
D002,South Hills,72.3,45000,84.5,68.2,2024-02,7.1
D002,South Hills,72.3,45000,81.2,63.8,2024-03,11.4
D003,East Plains,62.1,62000,72.3,55.2,2024-01,14.8
D003,East Plains,62.1,62000,74.1,59.6,2024-02,10.2
D003,East Plains,62.1,62000,69.5,51.8,2024-03,18.9
D004,West Coast,78.5,38000,88.2,72.1,2024-01,6.5
D004,West Coast,78.5,38000,89.1,74.3,2024-02,5.8
D004,West Coast,78.5,38000,87.5,70.9,2024-03,7.2
D005,Central Valley,55.2,85000,64.5,45.2,2024-01,25.3
D005,Central Valley,55.2,85000,66.8,49.1,2024-02,19.7
D005,Central Valley,55.2,85000,62.1,42.8,2024-03,28.4

